abbr,expanded_form,source_method,confidence,example_context
abd,abdominal,rule_based_domain_dict,high,
cp,chest pain,rule_based_domain_dict,high,
discom,discomfort,rule_based_domain_dict,high,
eval,evaluation,rule_based_domain_dict,high,
fu,follow up,rule_based_domain_dict,high,
fx,fracture,rule_based_domain_dict,high,
ha,headache,rule_based_domain_dict,high,
lac,laceration,rule_based_domain_dict,high,
loc,loss of consciousness,rule_based_domain_dict,high,
mva,motor vehicle accident,rule_based_domain_dict,high,
n/v,nausea and vomiting,rule_based_domain_dict,high,
otc,over the counter,rule_based_domain_dict,high,
oth,other,rule_based_domain_dict,high,
relat,related,rule_based_domain_dict,high,
s/p,status post,rule_based_domain_dict,high,
sob,shortness of breath,rule_based_domain_dict,high,
symp,symptoms,rule_based_domain_dict,high,
unsp,unspecified,rule_based_domain_dict,high,
uri,upper respiratory infection,rule_based_domain_dict,high,
uti,urinary tract infection,rule_based_domain_dict,high,
w/,with,rule_based_domain_dict,high,
w/o,without,rule_based_domain_dict,high,
