track,fold,index,y_true,y_pred,abs_error,threshold_logit_1,threshold_logit_2,threshold_logit_3,threshold_logit_4,class_prob_1,class_logit_1,class_prob_2,class_logit_2,class_prob_3,class_logit_3,class_prob_4,class_logit_4,class_prob_5,class_logit_5
chief_complaint,4,4,4,4,0,5.32,3.176,1.021,-2.857,0.004883,-5.32,0.03564,-3.334,0.2246,-1.493,0.6807,-0.3848,0.0543,-2.914
chief_complaint,4,5,4,4,0,4.33,2.11,0.1838,-2.389,0.01367,-4.293,0.09424,-2.361,0.3462,-1.061,0.462,-0.7725,0.08405,-2.477
chief_complaint,4,6,3,4,1,5.258,3.168,0.749,-2.973,0.004883,-5.32,0.03564,-3.334,0.2803,-1.272,0.6304,-0.4614,0.04868,-3.023
chief_complaint,4,14,4,3,1,5.023,2.979,-0.496,-3.855,0.006836,-4.984,0.0415,-3.182,0.573,-0.5566,0.3577,-1.028,0.02072,-3.877
chief_complaint,4,16,3,3,0,2.463,1.222,-0.2979,-2.812,0.0781,-2.549,0.1494,-1.901,0.3464,-1.06,0.3694,-0.996,0.05664,-2.871
chief_complaint,4,19,4,4,0,4.996,3.09,0.2285,-3.133,0.006836,-4.984,0.0371,-3.293,0.3994,-0.918,0.5146,-0.664,0.04178,-3.176
chief_complaint,4,25,4,4,0,5.34,2.9,0.967,-3.117,0.004883,-5.32,0.04688,-3.06,0.2241,-1.495,0.6816,-0.3833,0.04242,-3.16
chief_complaint,4,27,4,4,0,4.984,3.646,1.366,-2.154,0.006836,-4.984,0.01904,-3.96,0.1772,-1.73,0.693,-0.367,0.1039,-2.264
chief_complaint,4,30,4,3,1,4.812,2.656,-0.1531,-2.531,0.007812,-4.85,0.0581,-2.846,0.472,-0.751,0.3884,-0.946,0.07367,-2.607
chief_complaint,4,42,4,4,0,5.42,3.273,0.6714,-3.104,0.004883,-5.32,0.03174,-3.451,0.3018,-1.198,0.6187,-0.4802,0.04294,-3.148
chief_complaint,4,47,3,4,1,5.004,3.42,1.298,-1.708,0.006836,-4.984,0.02539,-3.674,0.1826,-1.7,0.632,-0.4592,0.1534,-1.874
chief_complaint,4,55,3,4,1,5.008,3.066,0.777,-3.24,0.006836,-4.984,0.0381,-3.268,0.27,-1.31,0.6475,-0.4348,0.03766,-3.28
chief_complaint,4,60,1,4,3,4.613,2.436,0.1433,-3.453,0.009766,-4.63,0.0708,-2.648,0.3838,-0.9575,0.505,-0.6836,0.03069,-3.484
chief_complaint,4,68,3,4,1,4.71,2.621,0.10425,-2.064,0.00879,-4.734,0.0586,-2.838,0.4062,-0.901,0.4138,-0.8823,0.11255,-2.184
chief_complaint,4,69,3,3,0,4.64,2.98,-2.314,-4.453,0.009766,-4.63,0.03857,-3.256,0.862,-0.1487,0.0784,-2.545,0.01151,-4.465
chief_complaint,4,70,3,3,0,4.723,2.787,-2.783,-4.55,0.00879,-4.734,0.04932,-3.01,0.884,-0.12354,0.0478,-3.041,0.01045,-4.562
chief_complaint,4,81,4,3,1,2.463,1.222,-0.2979,-2.812,0.0781,-2.549,0.1494,-1.901,0.3464,-1.06,0.3694,-0.996,0.05664,-2.871
chief_complaint,4,84,2,3,1,4.56,0.4075,-2.766,-4.09,0.01074,-4.535,0.3892,-0.944,0.541,-0.6143,0.04272,-3.152,0.01646,-4.105
chief_complaint,4,87,2,3,1,4.516,0.6616,-2.451,-3.809,0.01074,-4.535,0.3296,-1.11,0.58,-0.5444,0.05765,-2.854,0.0217,-3.83
chief_complaint,4,94,3,3,0,4.473,1.544,-2.48,-4.004,0.01172,-4.445,0.1646,-1.805,0.7466,-0.2922,0.05936,-2.824,0.01791,-4.023
chief_complaint,4,98,3,4,1,5.113,3.297,0.06616,-2.385,0.00586,-5.14,0.02979,-3.514,0.4478,-0.8037,0.4321,-0.839,0.08435,-2.473
chief_complaint,4,103,4,4,0,4.87,3.7,1.695,-1.345,0.007812,-4.85,0.01611,-4.13,0.1313,-2.03,0.6377,-0.45,0.2068,-1.576
chief_complaint,4,105,3,4,1,5.156,2.973,0.2467,-3.53,0.00586,-5.14,0.04248,-3.158,0.3901,-0.9414,0.533,-0.629,0.02849,-3.559
chief_complaint,4,113,4,4,0,4.727,3.324,0.5034,-3.166,0.00879,-4.734,0.02588,-3.654,0.3423,-1.072,0.5825,-0.5405,0.04047,-3.207
chief_complaint,4,119,2,3,1,3.156,0.2551,-2.248,-3.496,0.04102,-3.193,0.3955,-0.9277,0.468,-0.7593,0.0661,-2.717,0.02942,-3.525
chief_complaint,4,123,3,3,0,4.414,0.2766,-3.074,-4.207,0.01172,-4.445,0.4194,-0.8687,0.525,-0.6445,0.0295,-3.523,0.01466,-4.223
chief_complaint,4,124,3,3,0,4.938,2.541,-2.324,-4.273,0.006836,-4.984,0.0664,-2.713,0.838,-0.1769,0.0754,-2.586,0.01375,-4.285
chief_complaint,4,134,4,4,0,4.914,2.873,0.6963,-3.205,0.007812,-4.85,0.0459,-3.082,0.2788,-1.277,0.6284,-0.4646,0.03897,-3.244
chief_complaint,4,137,4,3,1,4.664,2.367,-0.2659,-3.596,0.009766,-4.63,0.0762,-2.574,0.4802,-0.7334,0.4072,-0.8984,0.02672,-3.623
chief_complaint,4,145,3,3,0,4.34,2.984,-2.4,-4.383,0.012695,-4.367,0.03564,-3.334,0.8687,-0.1409,0.0708,-2.648,0.01234,-4.395
chief_complaint,4,152,3,3,0,4.32,2.344,-2.332,-4.258,0.01367,-4.293,0.0737,-2.607,0.824,-0.1934,0.0745,-2.596,0.01396,-4.27
chief_complaint,4,158,3,3,0,4.63,0.6035,-2.578,-3.887,0.009766,-4.63,0.3438,-1.067,0.576,-0.5513,0.05048,-2.986,0.0201,-3.908
chief_complaint,4,166,4,4,0,4.695,2.832,0.2632,-3.35,0.00879,-4.734,0.0464,-3.07,0.3794,-0.969,0.5317,-0.632,0.0339,-3.385
chief_complaint,4,175,3,4,1,4.73,3.37,0.953,-3.207,0.00879,-4.734,0.02441,-3.713,0.2451,-1.406,0.6826,-0.3818,0.0389,-3.246
chief_complaint,4,176,3,3,0,3.902,1.277,-2.193,-3.387,0.02002,-3.91,0.1982,-1.618,0.6816,-0.3833,0.0676,-2.693,0.0327,-3.42
chief_complaint,4,182,3,3,0,4.91,1.493,-1.562,-4.348,0.007812,-4.85,0.1758,-1.738,0.643,-0.4414,0.1606,-1.828,0.01277,-4.36
chief_complaint,4,190,2,3,1,4.047,0.6113,-2.445,-3.826,0.01709,-4.07,0.335,-1.094,0.5684,-0.565,0.05844,-2.84,0.02133,-3.848
chief_complaint,4,196,3,3,0,4.32,2.344,-2.332,-4.258,0.01367,-4.293,0.0737,-2.607,0.824,-0.1934,0.0745,-2.596,0.01396,-4.27
chief_complaint,4,207,3,3,0,2.463,1.222,-0.2979,-2.812,0.0781,-2.549,0.1494,-1.901,0.3464,-1.06,0.3694,-0.996,0.05664,-2.871
chief_complaint,4,209,3,3,0,4.938,2.541,-2.324,-4.273,0.006836,-4.984,0.0664,-2.713,0.838,-0.1769,0.0754,-2.586,0.01375,-4.285
chief_complaint,4,210,3,3,0,4.938,2.541,-2.324,-4.273,0.006836,-4.984,0.0664,-2.713,0.838,-0.1769,0.0754,-2.586,0.01375,-4.285
chief_complaint,4,221,1,1,0,-3.73,-2.55,-2.502,-1.943,0.8867,-0.12024,0.0,-inf,0.0,-inf,0.0,-inf,0.11383,-2.174
chief_complaint,4,222,4,4,0,4.914,2.873,0.6963,-3.205,0.007812,-4.85,0.0459,-3.082,0.2788,-1.277,0.6284,-0.4646,0.03897,-3.244
chief_complaint,4,233,3,3,0,4.18,1.964,-2.598,-4.418,0.01563,-4.16,0.1074,-2.23,0.8076,-0.2136,0.05737,-2.857,0.01192,-4.43
chief_complaint,4,236,3,3,0,4.816,1.421,-1.248,-3.73,0.007812,-4.85,0.1865,-1.679,0.5825,-0.5405,0.1996,-1.611,0.02342,-3.754
chief_complaint,4,237,3,3,0,4.168,0.876,-1.728,-3.64,0.01563,-4.16,0.2783,-1.279,0.555,-0.5884,0.1255,-2.076,0.02556,-3.666
chief_complaint,4,242,3,3,0,4.938,2.541,-2.324,-4.273,0.006836,-4.984,0.0664,-2.713,0.838,-0.1769,0.0754,-2.586,0.01375,-4.285
chief_complaint,4,254,3,3,0,4.03,0.942,-1.607,-3.857,0.01709,-4.07,0.2632,-1.335,0.5527,-0.593,0.1462,-1.923,0.02069,-3.879
chief_complaint,4,257,4,4,0,4.617,2.188,0.1371,-3.229,0.009766,-4.63,0.0913,-2.393,0.3647,-1.009,0.496,-0.701,0.03812,-3.268
chief_complaint,4,260,4,4,0,4.96,3.355,0.492,-3.545,0.006836,-4.984,0.02734,-3.6,0.3452,-1.063,0.593,-0.523,0.02808,-3.572
chief_complaint,4,267,4,3,1,4.727,2.15,-1.588,-4.31,0.00879,-4.734,0.0952,-2.352,0.7266,-0.3193,0.1564,-1.855,0.013275,-4.32
chief_complaint,4,270,2,3,1,3.525,0.0478,-3.117,-4.49,0.02832,-3.564,0.4595,-0.778,0.4697,-0.7554,0.0313,-3.463,0.011116,-4.5
