track,fold,index,y_true,y_pred,abs_error,threshold_logit_1,threshold_logit_2,threshold_logit_3,threshold_logit_4,class_prob_1,class_logit_1,class_prob_2,class_logit_2,class_prob_3,class_logit_3,class_prob_4,class_logit_4,class_prob_5,class_logit_5
injury_cause,5,2,4,3,1,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,12,3,3,0,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,15,3,3,0,4.33,1.656,-0.811,-3.377,0.01367,-4.293,0.1465,-1.921,0.532,-0.631,0.2747,-1.292,0.03302,-3.41
injury_cause,5,17,3,3,0,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,18,4,3,1,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,20,3,3,0,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,21,4,4,0,4.605,3.244,1.055,-2.775,0.009766,-4.63,0.02783,-3.582,0.2207,-1.511,0.683,-0.381,0.05865,-2.836
injury_cause,5,24,4,3,1,5.18,2.41,-0.1677,-3.822,0.00586,-5.14,0.07666,-2.568,0.4595,-0.778,0.4365,-0.829,0.02141,-3.844
injury_cause,5,29,3,3,0,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,31,3,3,0,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,32,3,3,0,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,40,4,3,1,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
injury_cause,5,44,4,3,1,4.31,1.576,-0.924,-3.229,0.01367,-4.293,0.1577,-1.847,0.5444,-0.608,0.2461,-1.402,0.03812,-3.268
