row_index,year,fold,raw_logit_t1,raw_logit_t2,prob_class_1,prob_class_2,prob_class_3
0,2018,1,3.1988292,1.4499105,0.039209843,0.18256485,0.7782253
1,2018,1,2.578423,0.6816133,0.07054007,0.3122068,0.6172531
2,2018,1,2.424137,0.618163,0.081350565,0.3217104,0.596939
3,2018,1,1.2416539,-2.7078104,0.22414821,0.7273501,0.04850164
4,2018,1,2.745491,1.0663018,0.060341775,0.2406531,0.6990051
5,2018,1,1.6001937,0.84000397,0.16795456,0.25088996,0.5811555
6,2018,1,2.9206455,1.2476505,0.051142395,0.21169686,0.73716074
7,2018,1,2.6533067,1.1409348,0.06578553,0.22621894,0.70799553
8,2018,1,1.7285852,0.11327723,0.15076864,0.4005917,0.44863966
9,2018,1,3.0613987,1.6903064,0.04472792,0.1487698,0.8065023
10,2018,1,2.986652,0.550019,0.048032522,0.3482868,0.6036807
11,2018,1,1.7531483,-2.305911,0.14765054,0.77509713,0.07725234
12,2018,1,1.6001937,0.84000397,0.16795456,0.25088996,0.5811555
13,2018,1,1.5256398,0.38871074,0.1786325,0.33185524,0.48951226
14,2018,1,2.7901578,-0.096806705,0.057858348,0.49385443,0.44828722
15,2018,1,2.375703,0.71996534,0.085044324,0.29955703,0.61539865
16,2018,1,1.1118606,0.21311131,0.2475242,0.33629867,0.41617712
17,2018,1,-0.27428213,-2.1259046,0.56814384,0.3858184,0.04603777
18,2018,1,3.2077677,1.2589735,0.038874388,0.21255356,0.74857205
19,2018,1,2.1599872,-0.25655234,0.10340166,0.5054919,0.39110643
20,2018,1,2.986652,0.550019,0.048032522,0.3482868,0.6036807
21,2018,1,1.2815398,-0.04558314,0.2172882,0.40027398,0.38243783
22,2018,1,2.0338864,-1.2715081,0.11569077,0.69064623,0.193663
23,2018,1,2.2125578,-0.55273974,0.09862846,0.57216454,0.329207
24,2018,1,1.9151552,0.34759966,0.12840277,0.3608104,0.51078683
25,2018,1,2.2290227,0.7658633,0.09717435,0.28653395,0.6162917
26,2018,1,2.5316563,1.1017139,0.07366848,0.23104459,0.6952869
27,2018,1,3.24903,1.8077562,0.03736174,0.13564485,0.8269934
28,2018,1,1.5011625,-2.521271,0.18225223,0.7569234,0.060824405
29,2018,1,3.0004413,1.0644006,0.04740596,0.24431127,0.70828277
30,2018,1,1.9406501,-0.3132737,0.1255765,0.50514054,0.36928293
31,2018,1,-1.4423921,-1.2491455,0.80882484,0.14857215,0.042603023
32,2018,1,1.8235164,-2.3197653,0.13901252,0.7839298,0.077057675
33,2018,1,1.6001937,0.84000397,0.16795456,0.25088996,0.5811555
34,2018,1,2.2731318,1.3676473,0.0933727,0.1840455,0.7225818
35,2018,1,2.8742948,1.7208146,0.05343902,0.14365608,0.8029049
36,2018,1,1.6001937,0.84000397,0.16795456,0.25088996,0.5811555
37,2018,1,1.8235164,-2.3197653,0.13901252,0.7839298,0.077057675
38,2018,1,-0.9884309,-1.1196734,0.7287779,0.20448199,0.06674013
39,2018,1,1.2906572,-1.2489052,0.21574163,0.6094552,0.17480312
40,2018,1,3.0019152,1.1416695,0.04733944,0.23055714,0.7221034
41,2018,1,1.6001937,0.84000397,0.16795456,0.25088996,0.5811555
42,2018,1,3.012935,1.2048659,0.04684496,0.2198078,0.73334724
43,2018,1,1.0578142,-0.31948924,0.25772744,0.4299241,0.31234846
44,2018,1,3.0004413,1.0644006,0.04740596,0.24431127,0.70828277
45,2018,1,2.7043927,0.5824852,0.062714696,0.33588642,0.6013989
46,2018,1,2.4848125,-0.28042728,0.07692969,0.5258279,0.39724243
47,2018,1,3.2560742,1.7338929,0.037109256,0.14452052,0.8183702
48,2018,1,2.8584666,0.9121201,0.054245293,0.2710213,0.6747334
49,2018,1,2.1239522,-0.029709447,0.10679054,0.45323843,0.43997103
50,2018,1,0.30706418,-2.050216,0.42383146,0.5104677,0.06570082
51,2018,1,0.17392807,-0.15936373,0.45662725,0.29328912,0.25008363
